ulasan,rating,tangibles,reliability,emphaty,assurance,kategori
tolietsudah baik bersih,4,1,1,0,1,"tangibles, reliability, assurance"
ruang ibadah masjid musholla proses bangun,4,1,1,0,1,"tangibles, reliability, assurance"
mungkin feedback perlu timbang terkait ac kurang dingin kelas,4,1,0,0,0,tangibles
aspek rasa tidak feedback negatif berarti,4,0,0,0,0,umum
kejelasan materi kuliah modul mahasiswa baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tepat dosen baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mungkin kualitas layanan staf akademik perlu sedikit tingkat krs masalah,4,0,1,1,0,"reliability, emphaty"
aspek tidak feedback negatif berarti,4,0,0,0,0,umum
bimbingan dosen pembimbing akademik bimbingan tugas dosen pembimbing tugas baik kemudahan komunikasi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mungkin santun staf pelayanan perlu tingkat kadang-kadang ketus tidak masalah,4,0,1,0,0,reliability
aspek tidak feedback negatif fakultas tanggap membantu mahasiswa hadap masalah akademik menyediakan bantu keringanan bagi mahasiswa tidak mampu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
empathy tidak feedback negatif,4,0,0,0,0,umum
fakultas dukungan penuh peduli memahami kepentingan kesulitan mahasiswa monitor maju mahasiswa melalui dosen pembimbing akademik berusaha memahami minat bakat mahasiswa berusaha kembang simpul layanan akademik fasilkom-ti baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
hanya perlu tingkat hal minor fasilitas ac staf layanan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi fisik bangun baik kelas pada laksana kegiatan belajar ajar,2,1,1,0,1,"tangibles, reliability, assurance"
berkuliah sana melihat banyak sekali fasilitas baik tidak optimal komputer alat alat multimedia canggih vr 3d printing hanya pakai laptop sendiri spesifikasi biasa saja lab,2,1,1,0,1,"tangibles, reliability, assurance"
masalah staf dosen kendala staf kurang ramah kes sepele mahasiswa pekerjaan laku staf kes lambat sulit mahasiswa urus,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen baik hanya saja dosen agar tingkat lebih peduli semua mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berharap staf dosen pandang mahasiswa baik agar tidak terjadi ucap atas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
merasa mahasiswa tidak penting terjadi,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa membayar fasilitas kerja staf serta dosen kampus,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pelayanan alami fasilkom-ti bilang kurang memuaskan fasilitas fisik kampus memuaskan pada aspek lain empathy kurang pada,3,1,1,0,1,"tangibles, reliability, assurance"
dosen rasa andal ajar mahasiswa staf akademik kurang,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf akademik tidak cepat tanggap urus mahasiswa kurang info info terbaru sering kali mengarahkan bertanya orang lain membuat banyak mahasiswa kebingungan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sebab hambat urus mahasiswa berkas info fakultas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan kampus umum memenuhi kebutuhan para mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas baik ruang kuliah laboratorium toilet ruang ibadah siap optimal,3,1,1,0,1,"tangibles, reliability, assurance"
kekurangan,3,0,0,0,0,umum
ruang kuliah tidak semua awat sama ruang kuliah tidak pencahayaan merata sirkulasi udara kurang baik kursi meja kurang layak,3,1,1,0,1,"tangibles, reliability, assurance"
laboratorium milik komputer desktop komputer tidak kurang perangkat tambahan keyboard mouse tidak semua laboratorium milik kursi para mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
toilet fungsi baik terkadang lampu toilet kurang fungsi optimal toilet gelap,3,1,1,0,1,"tangibles, reliability, assurance"
nilai andal dosen staf akademik dosen kurang jelas memberi materi kuliah terlalu belit hanya bingung mahasiswa modul lengkap tidak seluruhnya merangkup materi butuh,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terkadang dosen datang tidak alas jelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kualitas layanan staf akademik baik sering butuh lama penyelesaian tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa subjek nilai sifat subjektif milik tingkat nilai variatif mana berkaitan erat serta pengaruh staf pelayanan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
umum melihat laku umum masyarakat santun staf pelayanan baik,3,1,1,0,1,"tangibles, reliability, assurance"
bimbingan dosen pembimbing akademik serta bimbingan tugas dosen pembimbing tugas pribadi jalan baik memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap fakultas fakultas tidak membantu mahasiswa masalah akademik bantu keringanan bagi mahasiswa tidak mampu sering sekali lambat terkadang tidak bantu sama sekali,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
paham kepentingan mahasiswa fakultas sering sekali tidak memahami kepentingan kesulitan mahasiswa proses membantu mahasiswa urus administratif terkait mahasiswa milik peluang ukir prestasi kendala finansial,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
monitor maju mahasiswa melalui dosen pembimbing akademik baik pribadi rasa kurang optimal tidak dampak pengaruh hasil,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
memahami minat bakat mahasiswa rasa belum nilai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kesimpulan nilai atas layanan akademik kampus jalan baik kurang segi pelayanan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pelayanan akademik fasilkom ti usu ribet sulit melalui sistem konvensional harus menghubungi salah satu pegawai,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus surat pun sedikit integrasi sistem asa usu,2,0,0,0,1,assurance
service pegawai tu bagian surat surat mahasiswa kes hanya selesai tanggung jawab tidak value lebih,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kritik saran salah satu mahasiswa tidak tanggap positif,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
inti perlu reformasi bagian pegawai tu bagian surat surat,2,0,0,0,0,umum
layanan akademik fasilkom-ti baik fasilitas fisik kampus membantu mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lengkap tools kelas laboratorium mahasiswa tingkat kemampuan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bukan hanya fasilitas fisik dosen staf pengajar mumpuni bidang mahasiswa ajar mengerti mata kuliah baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akademik baik membuat mahasiswa nyaman melaksanakan ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kamus fasilkomti aspek belum memuaskan,4,0,0,0,0,umum
alas lain kecepatan jaringan wireless area kampus pada,4,0,1,0,0,reliability
memang fasilitas wifi sedia kampus belum memenuhi kebutuhan internet mahasiswa aktivitas area kampus,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi andal dosen staf akademik kampus terbaik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
baik kegiatan belajar ajar sampai materi modul materi padat sesuai staf akademik ramah tanggap urus administratif mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek laku mahasiswa rujuk laku dosen mahasiswa bernilai baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen mampu simpatik mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sisi sikap tanggap kampus terbaik terutama merespon bentuk kegiatan berkaitan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
informasinya sebar cepat,4,0,0,0,0,umum
sisi empathy kampus terbaik harus kelas ganti dosen mau komunikasi diskus mahasiswa agar hasil jadwal kelas ganti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai ruang semuanya bagus,4,1,1,0,1,"tangibles, reliability, assurance"
hanya kurang bagian ruang ibadah saja nilai realibility berkurang kendala covid masuk tidak covid lagi lebih baik nilai semuanya lumayan baik respponsiveness kurang tau tidak urus masalah bagian akademik harus tu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
masuk tu pelayanan lumayan baik sama empathy kurang menilai rasa baik,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas sedia fasilkom-ti pada masuk kategori lumayan buruk jaga banyak fasilitas milik kondisi tergolong buruk,3,1,1,0,1,"tangibles, reliability, assurance"
dosen fasilkom-ti terkadang kurang ayom mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terkadang dosen hanya masuk membaca ppt tidak materi baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terlepas dosen fasilkom-ti tergolong andal tidak sedikit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa terkadang kurang menyenangkan banyak mahasiswa takut bertanya,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
gambar kurang sikap tanggap paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai layanan akademik fasilkom-ti jauh kata memuaskan,2,0,1,1,0,"reliability, emphaty"
aspek rasa aktivitas butuh layanan akademik fasilkom-ti,2,0,1,1,0,"reliability, emphaty"
segi fasilitas baik kelola kurang tambah lagi tidak tempat ibadah fakultas,2,1,1,0,1,"tangibles, reliability, assurance"
segi overall baik memuaskan baik segi modul materi segi kebutuhan akademik mahasiswa hanya saja sedikit kurang tepat dosen masuk,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi tidak memuaskan,2,0,0,0,0,umum
rasa proses urus berkas alami mana sering terjadinya tidak organisir prodi fakultas lama pemprosesan berkas,2,1,1,0,1,"tangibles, reliability, assurance"
kurang tepat mempersiapkan pemprosesan dokumen berkas mahasiswa kepentingan akademik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi fakultas peduli maju mahasiswa kurang peduli kesulitan alami mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akademik rasa memuaskan,3,0,1,1,0,"reliability, emphaty"
ruang kelas fasilitas baik tambah,3,1,1,0,1,"tangibles, reliability, assurance"
laku mahasiswa merasa berbeda sekali,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
rasa empathy toleransi tutur sapa mulai punah kalang mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
harap perubahan lebih baik depan,3,1,1,0,1,"tangibles, reliability, assurance"
lambat merespon,3,0,0,0,0,umum
empathy mahasiswa dosen cepat merespon ayom pelayanan kepentingan mahasiswa mengabaikan kepentingan mahasiswa jadi sebagai mahasiswa tidak harus mencari informasi terkait kebutuhan butuh mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mohon pelayanan informasi mahasiswa dosen akademik mudah pelayanan fasilitas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fisik usaha fasilkom ti memberi fasilitas baik hanya perlu laku awat fasilitas,3,1,1,0,1,"tangibles, reliability, assurance"
contoh lokasi pendopo bengkalai debu cleaning service kerja baik awat ruang belajar alangkah baiknya pihak fasilkom ti memberi amanat awat fasilitas lain pendopo,3,1,1,0,1,"tangibles, reliability, assurance"
lalu reliabilty dosen staff serta memahami mahasiswa perlu tingkat lagi masalah urus surat surat penting layak surat izin proposal surat rekomendasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terlalu lama urus harap kenal kenal lambat serah surat penting kepentingan program,3,0,0,0,1,assurance
fasilitas fisik awal masuk fasilkom-ti usu milik ruang jauh lebih baik fakultas lain usu renovasi membuat fasilkom-ti lebih baik lagi melihat fasilitas,3,1,1,0,1,"tangibles, reliability, assurance"
biarpun kurang salah satu infocus kabel sering sekali masalah menghambat jalan proses belajar ajar,3,0,1,0,1,"reliability, assurance"
proses belajar ajar merasa kualitas dosen pengajar baik dosen ajar milik keahlian bidang ajar hanya saja pasti dosen ajar mudah paham dosen ajar sulit mustahil erti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa rasa tidak terlalu jelek bilang baik cepat membantu selesai masalah mudah butuh lama kompleks,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fisik kampus kurang pada,3,1,1,0,1,"tangibles, reliability, assurance"
lab lengkap komputer mahasiswa masuk lab,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lab teliti mohon fasilitas komputer lebih banyak agar mahasiswa tidak perlu antri hari training program tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen staf akademik mumpuni,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa dosen tidak peduli mahasiswa didik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf akademik banyak semena-mena urus surat sulit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap minim,3,0,0,0,0,umum
paham kepentingan mahasiswa sering abai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
belum gedung jadi semua komentar bawah hanya berdasarkan pengalaman belajar gedung,3,0,0,0,0,umum
ruang kuliah gedung baik,3,1,1,0,1,"tangibles, reliability, assurance"
kursi kursi mencukupi ac dingin,3,0,0,0,0,umum
minus ruang kuliah kursi udah mereng mereng jadi ga enak utk pakai buka leptop notabene sbg anak ti sering buka leptop kbm,3,1,1,0,1,"tangibles, reliability, assurance"
toilet wanita gedung lantai bersih kadang mau rusak flush,3,1,0,0,0,tangibles
toilet lt gedung sih serem,3,1,0,0,0,tangibles
kotor rusak tidak air sama sekali,3,1,0,0,0,tangibles
lab gedung cakep cuma ruang ruang lt ga terurus berantakan,3,1,1,0,1,"tangibles, reliability, assurance"
kurang fasilkom-ti ruang ibadah bagi muslim,3,1,1,0,1,"tangibles, reliability, assurance"
kesulitan ibadah,3,0,0,0,0,umum
ibadah jam kelas berdekatan,3,1,0,0,0,tangibles
kalau kualitas dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen ajar baik lain yaah mungkin mahasiswa ti lain tau apa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
materi tepat kehadiran dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan staff akademik kurang,3,0,1,1,0,"reliability, emphaty"
respon lama ga cepat tanggap kali kali tetap ga urus,3,0,0,0,1,assurance
gatau dah salah mana,3,0,0,0,0,umum
belum lagi judes cuek,3,0,0,0,0,umum
urus staff berusaha bertanya sopan baik,3,1,1,0,1,"tangibles, reliability, assurance"
inti kurang puas jadi malas kalau harus urus staff staff fasilkom-ti,3,1,0,1,1,"tangibles, emphaty, assurance"
kalau dosen pa dosbing sepertinya tergantung pribadi dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak tau harus apa tentang kepedulian fakultas kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
responnya lama jadi progressnya ga nampak,3,0,0,0,0,umum
ttg maju mahasiswa melalui dosen pa tidak,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak mendapat feedback keuntungan apa apa milik dosen pa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
hanya minta ttd krs semester,3,0,0,0,0,umum
maafkan terlalu panjang,3,0,0,0,0,umum
keluar unek unek ttg fasilkom-ti usu tidak menemukan wadah salur pandang sbg mahasiwa fasilkom-ti utk menyuarakan dapat keluh kesah,3,0,0,0,0,umum
rasa fakultas perlu membuat kuisioner refleksi maju depan,3,1,1,0,0,"tangibles, reliability"
kuisioner harap segera laksana jangan hanya baca,3,0,0,0,0,umum
sekian terima kasih,3,0,0,0,0,umum
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,3,1,1,0,1,"tangibles, reliability, assurance"
laboratorium toilet baik terjaga bersih,3,1,1,0,1,"tangibles, reliability, assurance"
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ada elearning laku akses modul mudah,3,0,0,0,0,umum
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama tertunda contoh urus berkas kkm program kampus merdeka sulit berkas sampai minggu berkas belum dapat,3,0,1,0,1,"reliability, assurance"
tidak tahu masuk aspek terkait jadwal seminar proposal seminar hasil baiknya lebih tingkat jadwal diberitahukan satu jadwal seminar persiapan seminar sedikit sulit dadak pemberitahuan jadwal meskipun persiapan jauh persiapan terkadang kurang matang jadwal seminar diberitahukan tidak selang,3,0,0,0,0,umum
moga saja timbang lagi,3,0,0,0,0,umum
moga layanan akademik fasilkom-ti semakin membaik iring jalan serta tugas,3,0,1,1,0,"reliability, emphaty"
sekian terima kasih,3,0,0,0,0,umum
masalah tangible pihak sendiri sih lumayan renovasi perbaikan laku sistem daring beraoa tahub belakang sukit menilai bagi mahasiswa luarbkota,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen staff rasa baik dosen staff lebih aktif menyampaikan informasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas data mahasiswa memilliki prestasi mahasiswa yangvnemiliki kendala bayar ukt rasa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ajar sendiri tidakbtau tau tidak ajar yangbbaik pembelajaranbdi kampusblain apa,3,0,1,0,1,"reliability, assurance"
luas fasilkom ti kampus baik hanya saja mungkin baik lebih baik lagi menambah tenaga staff bersih agar kampus lebih bersih lagi memeriksa rutin berbagai fasilitas kampus lab infocus,3,1,1,0,1,"tangibles, reliability, assurance"
terlepas semua fasilkom ti berusaha baik kembang serta benah apa apa saja kurang baik lebih baik lagi,3,1,1,0,1,"tangibles, reliability, assurance"
layanan akademik fasilkom-ti baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek fasilitas sedia pada satu masuk toilet bau pesing,2,1,1,0,1,"tangibles, reliability, assurance"
dosen kompetensi bidang,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek urus surat staf kurang ramah mahasiswa mahasiswa malas urus surat,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas tidak terlalu aktif membantu mahasiswa tidak mampu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas kurang peduli masalah hadap mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom-ti menyediakan gedung lumayan nyaman aspek membuat kurang jaringan lelet terkadang lantai banjir terlalu lama kamar mandi terkadang cium bau keramik pecah proyektor rusak susah hidup hidup kondisi hidup mati berdekatan lambat proses ajar kelas bersama dosen,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom-ti belum milik kantin tidak bawa bekal harus jajan fakultas lain terdekat membeli melalui aplikasi online,2,1,1,1,0,"tangibles, reliability, emphaty"
kampus usu khusus fasilkom-ti membantu bagi para mahasiswa tingkat kualitas belajar fasilitas baik laku mahasiswa baik tidak kekerasan membuat mahasiswa lemah mental dosen staf akademik membantu memahami pelajaran ajar mahasiswa tidak belajar jenjang tengah memahami ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akademik fasilkom ti bagus banyak perlu tingkat lagi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang terbatas prodi ilmu komputer milik ruang kelas bilang pas an ruang ibadah perlu tingkat lagi kipas angin tidak,3,1,1,0,1,"tangibles, reliability, assurance"
reability dosen materi kuliah tidak terang materi dia bawa baca saja,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan staf bagus ramah,3,0,1,0,0,reliability
responsivenees fakultas membantu mahasiswa mempunyai kendala akademik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
empathy fakultas memahami minat mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek kurang terutama layanan bersih toilet,4,1,0,0,0,tangibles
pengalaman sendiri toilet pria fasilkom-ti milik bau pesing menyengat cium hanya melewati toilet,4,1,0,0,0,tangibles
depan toilet sering terjadi bocor sebab air genang,4,1,0,0,0,tangibles
aspek reability empathy bagus,4,0,0,0,0,umum
kesimpulan aspek perlu baik lagi kenyamanan bersama,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas fisik kampus baik karna lengkap baik dosen staf baik mengarahkan pelajaran layanan kepentingan akademik siswa laku mahasiswa baik dimulai urus berkas baik ramah pemberian pelayanan santun sungguh membantu mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap fakultas tergolong kurang karna kurang perhati mahasiswa paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom-ti milik gedung nyaman lagi fasilkom-ti gedung mas tergolong bersih terjaga menyediakan alat bersih sapu kain pel dll kelas butuh dadak,5,1,0,0,0,tangibles
fasilkom-ti milik suasana hangat mahasiswa sapa jumpa tidak pandang stambuk stambuk atas stambuk,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen ramah tersenyum,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fasilkom-ti baik,5,1,1,0,1,"tangibles, reliability, assurance"
dosen staff pengajar ajar hari,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tindakan dosen staff baik ramah,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
keperluan pegawai tata usaha cepat menanggapi melayani keluhan,5,0,0,0,0,umum
para pegawai tata usaha responsif paham butuh tidak perlu menunggu lama masa pegawai tata usaha langsung proses butuh,5,0,0,0,0,umum
fasilitas fisik kampus membantu mahasiswa ajar kampus alat lengkap pakai baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas saji teratur bersih mahasiswa maka nyaman,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen mahasiswa baik melayani mahasiswa ramah satun mulai dosen baik ajar akademik staf saat melayani kebutuhan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik ramah sopan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap paham mahasiswa bagus perhati kebutuhan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah rusng ibadah bersih,3,1,1,0,1,"tangibles, reliability, assurance"
ruang toilet kurang bersih kadang-kadang luar becek air menganggu mahasiswa lewat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang laboratorium baik lebih baik milik tambahan tempat supaya mahasiswa tidak milik masalah terkait sempit tempat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terkait baik baik lagi,3,1,1,0,1,"tangibles, reliability, assurance"
empathy baik,3,1,1,0,1,"tangibles, reliability, assurance"
bimbingan tugas kali kendala sulit mahasiswa termasuk sendiri,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah tidak gambar fakultas berkaitan it,1,1,1,0,1,"tangibles, reliability, assurance"
kelas milik masalah proyektor tidak fungsi,1,1,0,0,0,tangibles
laboratorium milik kendala perangkat tidak hidup mengalami rusa tidak praktikum,1,0,0,0,0,umum
tidak semua toilet menyediakan sabun wastafel,1,1,0,0,0,tangibles
khusus toilet lantai aroma terkadang kurang sedap,1,1,0,0,0,tangibles
dosen mengalami penurunan kualitas ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen jarang masuk hanya tugas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
peran dosen sebagai fasilitator kurang,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lambat dosen memasuki kelas bukan langka,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pertemuan dosen aju undur 15-30 menit alas kurang profesional sempat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
