ulasan,rating,tangibles,reliability,emphaty,assurance,kategori,sentiment,polaritas
laku mahasiswa fasilkom-ti usu taraf normal belum temu perilaku terlalu menyimpang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
fasilkom-ti usu milik sikap tanggap salah satu fasilkom-ti usu menjaga bersih lingkungan kampus hanya saja fasilitas perlu baik keran air kamar mandi stop contact tidak fungsi baik,4,1,1,0,1,"tangibles, reliability, assurance",5,positive
empathy paham mahasiswa fasilkom-ti arah awal masuk kampus baik staff himatif arah semester mahiswa ambil mata kuliah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
simpul fasilkom-ti performa baik hanya saja mas perlu baik agar fasilkom-ti lebih baik lagi depan,4,1,1,0,1,"tangibles, reliability, assurance",0,netral
menrut menerima pelayanan fakultas merasa belum puas mana laku petugas pelayanan staf akademik mahasiswa tidak ramah membuat mahasiswa takut urus hanya dar bertanya,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
lama urus hitung lama,2,0,0,0,1,assurance,-7,negative
fasilitas pihak fasilitas pada,2,1,1,0,1,"tangibles, reliability, assurance",-3,negative
sikap tanggap staf akademik urus mahasiswa kurang empathy kepentingan mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
fasilitas dapatkan baik ruang kelas luas nyaman toilet bersih tempat ibadah minim,3,1,1,0,1,"tangibles, reliability, assurance",1,positive
dosen staf baik dosen proses belajar ajar baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
laku mahasiswa kurang baik bimbingan dosen pembimbing akademik tidak laksana bimbingan dosen pembimbing skripsi sering sulit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
pihak fakultas ayom mahasiswa baik mengalami kendala kuliah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sikap tanggap kurang fakultas mahasiswa keringanan biaya,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
kepentingan mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
aspek rasa fasilitas fisik fasilkom-ti baik,4,1,1,0,1,"tangibles, reliability, assurance",-2,negative
ruang kuliah bersih luas,4,1,1,0,1,"tangibles, reliability, assurance",-1,negative
laboratorium nyaman mungkin laboratorium sempit,4,0,0,0,0,umum,-10,negative
tolietsudah baik bersih,4,1,1,0,1,"tangibles, reliability, assurance",3,positive
ruang ibadah masjid musholla proses bangun,4,1,1,0,1,"tangibles, reliability, assurance",3,positive
mungkin feedback perlu timbang terkait ac kurang dingin kelas,4,1,0,0,0,tangibles,-14,negative
aspek rasa tidak feedback negatif berarti,4,0,0,0,0,umum,-6,negative
kejelasan materi kuliah modul mahasiswa baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
tepat dosen baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
mungkin kualitas layanan staf akademik perlu sedikit tingkat krs masalah,4,0,1,1,0,"reliability, emphaty",0,netral
aspek tidak feedback negatif berarti,4,0,0,0,0,umum,-4,negative
bimbingan dosen pembimbing akademik bimbingan tugas dosen pembimbing tugas baik kemudahan komunikasi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
mungkin santun staf pelayanan perlu tingkat kadang-kadang ketus tidak masalah,4,0,1,0,0,reliability,12,positive
aspek tidak feedback negatif fakultas tanggap membantu mahasiswa hadap masalah akademik menyediakan bantu keringanan bagi mahasiswa tidak mampu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
empathy tidak feedback negatif,4,0,0,0,0,umum,0,netral
fakultas dukungan penuh peduli memahami kepentingan kesulitan mahasiswa monitor maju mahasiswa melalui dosen pembimbing akademik berusaha memahami minat bakat mahasiswa berusaha kembang simpul layanan akademik fasilkom-ti baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",47,positive
hanya perlu tingkat hal minor fasilitas ac staf layanan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
segi fisik bangun baik kelas pada laksana kegiatan belajar ajar,2,1,1,0,1,"tangibles, reliability, assurance",-2,negative
berkuliah sana melihat banyak sekali fasilitas baik tidak optimal komputer alat alat multimedia canggih vr 3d printing hanya pakai laptop sendiri spesifikasi biasa saja lab,2,1,1,0,1,"tangibles, reliability, assurance",2,positive
masalah staf dosen kendala staf kurang ramah kes sepele mahasiswa pekerjaan laku staf kes lambat sulit mahasiswa urus,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
dosen baik hanya saja dosen agar tingkat lebih peduli semua mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
berharap staf dosen pandang mahasiswa baik agar tidak terjadi ucap atas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
merasa mahasiswa tidak penting terjadi,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
mahasiswa membayar fasilitas kerja staf serta dosen kampus,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
pelayanan alami fasilkom-ti bilang kurang memuaskan fasilitas fisik kampus memuaskan pada aspek lain empathy kurang pada,3,1,1,0,1,"tangibles, reliability, assurance",-30,negative
dosen rasa andal ajar mahasiswa staf akademik kurang,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
staf akademik tidak cepat tanggap urus mahasiswa kurang info info terbaru sering kali mengarahkan bertanya orang lain membuat banyak mahasiswa kebingungan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
sebab hambat urus mahasiswa berkas info fakultas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
layanan kampus umum memenuhi kebutuhan para mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
fasilitas baik ruang kuliah laboratorium toilet ruang ibadah siap optimal,3,1,1,0,1,"tangibles, reliability, assurance",-4,negative
kekurangan,3,0,0,0,0,umum,-3,negative
ruang kuliah tidak semua awat sama ruang kuliah tidak pencahayaan merata sirkulasi udara kurang baik kursi meja kurang layak,3,1,1,0,1,"tangibles, reliability, assurance",-6,negative
laboratorium milik komputer desktop komputer tidak kurang perangkat tambahan keyboard mouse tidak semua laboratorium milik kursi para mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
toilet fungsi baik terkadang lampu toilet kurang fungsi optimal toilet gelap,3,1,1,0,1,"tangibles, reliability, assurance",3,positive
nilai andal dosen staf akademik dosen kurang jelas memberi materi kuliah terlalu belit hanya bingung mahasiswa modul lengkap tidak seluruhnya merangkup materi butuh,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
terkadang dosen datang tidak alas jelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
kualitas layanan staf akademik baik sering butuh lama penyelesaian tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
laku mahasiswa subjek nilai sifat subjektif milik tingkat nilai variatif mana berkaitan erat serta pengaruh staf pelayanan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",23,positive
umum melihat laku umum masyarakat santun staf pelayanan baik,3,1,1,0,1,"tangibles, reliability, assurance",15,positive
bimbingan dosen pembimbing akademik serta bimbingan tugas dosen pembimbing tugas pribadi jalan baik memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
sikap tanggap fakultas fakultas tidak membantu mahasiswa masalah akademik bantu keringanan bagi mahasiswa tidak mampu sering sekali lambat terkadang tidak bantu sama sekali,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
paham kepentingan mahasiswa fakultas sering sekali tidak memahami kepentingan kesulitan mahasiswa proses membantu mahasiswa urus administratif terkait mahasiswa milik peluang ukir prestasi kendala finansial,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
monitor maju mahasiswa melalui dosen pembimbing akademik baik pribadi rasa kurang optimal tidak dampak pengaruh hasil,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
memahami minat bakat mahasiswa rasa belum nilai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
kesimpulan nilai atas layanan akademik kampus jalan baik kurang segi pelayanan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
pelayanan akademik fasilkom ti usu ribet sulit melalui sistem konvensional harus menghubungi salah satu pegawai,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
urus surat pun sedikit integrasi sistem asa usu,2,0,0,0,1,assurance,-5,negative
service pegawai tu bagian surat surat mahasiswa kes hanya selesai tanggung jawab tidak value lebih,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
kritik saran salah satu mahasiswa tidak tanggap positif,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
inti perlu reformasi bagian pegawai tu bagian surat surat,2,0,0,0,0,umum,-1,negative
layanan akademik fasilkom-ti baik fasilitas fisik kampus membantu mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
lengkap tools kelas laboratorium mahasiswa tingkat kemampuan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
bukan hanya fasilitas fisik dosen staf pengajar mumpuni bidang mahasiswa ajar mengerti mata kuliah baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
layanan akademik baik membuat mahasiswa nyaman melaksanakan ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
kamus fasilkomti aspek belum memuaskan,4,0,0,0,0,umum,-10,negative
alas lain kecepatan jaringan wireless area kampus pada,4,0,1,0,0,reliability,-1,negative
memang fasilitas wifi sedia kampus belum memenuhi kebutuhan internet mahasiswa aktivitas area kampus,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",16,positive
segi andal dosen staf akademik kampus terbaik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
baik kegiatan belajar ajar sampai materi modul materi padat sesuai staf akademik ramah tanggap urus administratif mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",23,positive
aspek laku mahasiswa rujuk laku dosen mahasiswa bernilai baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
dosen mampu simpatik mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sisi sikap tanggap kampus terbaik terutama merespon bentuk kegiatan berkaitan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",27,positive
informasinya sebar cepat,4,0,0,0,0,umum,5,positive
sisi empathy kampus terbaik harus kelas ganti dosen mau komunikasi diskus mahasiswa agar hasil jadwal kelas ganti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
nilai ruang semuanya bagus,4,1,1,0,1,"tangibles, reliability, assurance",-2,negative
hanya kurang bagian ruang ibadah saja nilai realibility berkurang kendala covid masuk tidak covid lagi lebih baik nilai semuanya lumayan baik respponsiveness kurang tau tidak urus masalah bagian akademik harus tu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
masuk tu pelayanan lumayan baik sama empathy kurang menilai rasa baik,4,1,1,0,1,"tangibles, reliability, assurance",9,positive
fasilitas sedia fasilkom-ti pada masuk kategori lumayan buruk jaga banyak fasilitas milik kondisi tergolong buruk,3,1,1,0,1,"tangibles, reliability, assurance",-8,negative
dosen fasilkom-ti terkadang kurang ayom mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
terkadang dosen hanya masuk membaca ppt tidak materi baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
terlepas dosen fasilkom-ti tergolong andal tidak sedikit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
laku mahasiswa terkadang kurang menyenangkan banyak mahasiswa takut bertanya,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
gambar kurang sikap tanggap paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
nilai layanan akademik fasilkom-ti jauh kata memuaskan,2,0,1,1,0,"reliability, emphaty",8,positive
aspek rasa aktivitas butuh layanan akademik fasilkom-ti,2,0,1,1,0,"reliability, emphaty",-7,negative
segi fasilitas baik kelola kurang tambah lagi tidak tempat ibadah fakultas,2,1,1,0,1,"tangibles, reliability, assurance",-1,negative
segi overall baik memuaskan baik segi modul materi segi kebutuhan akademik mahasiswa hanya saja sedikit kurang tepat dosen masuk,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-15,negative
segi tidak memuaskan,2,0,0,0,0,umum,-9,negative
rasa proses urus berkas alami mana sering terjadinya tidak organisir prodi fakultas lama pemprosesan berkas,2,1,1,0,1,"tangibles, reliability, assurance",-1,negative
kurang tepat mempersiapkan pemprosesan dokumen berkas mahasiswa kepentingan akademik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
segi fakultas peduli maju mahasiswa kurang peduli kesulitan alami mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
layanan akademik rasa memuaskan,3,0,1,1,0,"reliability, emphaty",6,positive
ruang kelas fasilitas baik tambah,3,1,1,0,1,"tangibles, reliability, assurance",-1,negative
laku mahasiswa merasa berbeda sekali,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
rasa empathy toleransi tutur sapa mulai punah kalang mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
harap perubahan lebih baik depan,3,1,1,0,1,"tangibles, reliability, assurance",11,positive
lambat merespon,3,0,0,0,0,umum,4,positive
empathy mahasiswa dosen cepat merespon ayom pelayanan kepentingan mahasiswa mengabaikan kepentingan mahasiswa jadi sebagai mahasiswa tidak harus mencari informasi terkait kebutuhan butuh mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",19,positive
mohon pelayanan informasi mahasiswa dosen akademik mudah pelayanan fasilitas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",16,positive
fasilitas fisik usaha fasilkom ti memberi fasilitas baik hanya perlu laku awat fasilitas,3,1,1,0,1,"tangibles, reliability, assurance",16,positive
contoh lokasi pendopo bengkalai debu cleaning service kerja baik awat ruang belajar alangkah baiknya pihak fasilkom ti memberi amanat awat fasilitas lain pendopo,3,1,1,0,1,"tangibles, reliability, assurance",12,positive
lalu reliabilty dosen staff serta memahami mahasiswa perlu tingkat lagi masalah urus surat surat penting layak surat izin proposal surat rekomendasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
terlalu lama urus harap kenal kenal lambat serah surat penting kepentingan program,3,0,0,0,1,assurance,13,positive
fasilitas fisik awal masuk fasilkom-ti usu milik ruang jauh lebih baik fakultas lain usu renovasi membuat fasilkom-ti lebih baik lagi melihat fasilitas,3,1,1,0,1,"tangibles, reliability, assurance",3,positive
biarpun kurang salah satu infocus kabel sering sekali masalah menghambat jalan proses belajar ajar,3,0,1,0,1,"reliability, assurance",0,netral
proses belajar ajar merasa kualitas dosen pengajar baik dosen ajar milik keahlian bidang ajar hanya saja pasti dosen ajar mudah paham dosen ajar sulit mustahil erti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",26,positive
laku mahasiswa rasa tidak terlalu jelek bilang baik cepat membantu selesai masalah mudah butuh lama kompleks,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
fasilitas fisik kampus kurang pada,3,1,1,0,1,"tangibles, reliability, assurance",3,positive
lab lengkap komputer mahasiswa masuk lab,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
lab teliti mohon fasilitas komputer lebih banyak agar mahasiswa tidak perlu antri hari training program tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
andal dosen staf akademik mumpuni,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
laku mahasiswa dosen tidak peduli mahasiswa didik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
staf akademik banyak semena-mena urus surat sulit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
sikap tanggap minim,3,0,0,0,0,umum,1,positive
paham kepentingan mahasiswa sering abai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
belum gedung jadi semua komentar bawah hanya berdasarkan pengalaman belajar gedung,3,0,0,0,0,umum,-5,negative
ruang kuliah gedung baik,3,1,1,0,1,"tangibles, reliability, assurance",-1,negative
kursi kursi mencukupi ac dingin,3,0,0,0,0,umum,1,positive
minus ruang kuliah kursi udah mereng mereng jadi ga enak utk pakai buka leptop notabene sbg anak ti sering buka leptop kbm,3,1,1,0,1,"tangibles, reliability, assurance",-6,negative
toilet wanita gedung lantai bersih kadang mau rusak flush,3,1,0,0,0,tangibles,11,positive
toilet lt gedung sih serem,3,1,0,0,0,tangibles,-5,negative
kotor rusak tidak air sama sekali,3,1,0,0,0,tangibles,1,positive
lab gedung cakep cuma ruang ruang lt ga terurus berantakan,3,1,1,0,1,"tangibles, reliability, assurance",-17,negative
kurang fasilkom-ti ruang ibadah bagi muslim,3,1,1,0,1,"tangibles, reliability, assurance",1,positive
kesulitan ibadah,3,0,0,0,0,umum,0,netral
ibadah jam kelas berdekatan,3,1,0,0,0,tangibles,-3,negative
kalau kualitas dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
dosen ajar baik lain yaah mungkin mahasiswa ti lain tau apa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-12,negative
materi tepat kehadiran dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
layanan staff akademik kurang,3,0,1,1,0,"reliability, emphaty",-6,negative
respon lama ga cepat tanggap kali kali tetap ga urus,3,0,0,0,1,assurance,1,positive
gatau dah salah mana,3,0,0,0,0,umum,-8,negative
belum lagi judes cuek,3,0,0,0,0,umum,1,positive
urus staff berusaha bertanya sopan baik,3,1,1,0,1,"tangibles, reliability, assurance",8,positive
inti kurang puas jadi malas kalau harus urus staff staff fasilkom-ti,3,1,0,1,1,"tangibles, emphaty, assurance",-13,negative
kalau dosen pa dosbing sepertinya tergantung pribadi dosen 50-50,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
tidak tau harus apa tentang kepedulian fakultas kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
responnya lama jadi progressnya ga nampak,3,0,0,0,0,umum,-3,negative
ttg maju mahasiswa melalui dosen pa tidak,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
tidak mendapat feedback keuntungan apa apa milik dosen pa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
hanya minta ttd krs semester,3,0,0,0,0,umum,-1,negative
maafkan terlalu panjang,3,0,0,0,0,umum,-4,negative
keluar unek unek ttg fasilkom-ti usu tidak menemukan wadah salur pandang sbg mahasiwa fasilkom-ti utk menyuarakan dapat keluh kesah,3,0,0,0,0,umum,3,positive
rasa fakultas perlu membuat kuisioner refleksi maju depan,3,1,1,0,0,"tangibles, reliability",4,positive
kuisioner harap segera laksana jangan hanya baca,3,0,0,0,0,umum,3,positive
sekian terima kasih,3,0,0,0,0,umum,4,positive
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,3,1,1,0,1,"tangibles, reliability, assurance",-14,negative
laboratorium toilet baik terjaga bersih,3,1,1,0,1,"tangibles, reliability, assurance",0,netral
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
ada elearning laku akses modul mudah,3,0,0,0,0,umum,10,positive
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama tertunda contoh urus berkas kkm program kampus merdeka sulit berkas sampai minggu berkas belum dapat,3,0,1,0,1,"reliability, assurance",-8,negative
tidak tahu masuk aspek terkait jadwal seminar proposal seminar hasil baiknya lebih tingkat jadwal diberitahukan satu jadwal seminar persiapan seminar sedikit sulit dadak pemberitahuan jadwal meskipun persiapan jauh persiapan terkadang kurang matang jadwal seminar diberitahukan tidak selang,3,0,0,0,0,umum,-13,negative
moga saja timbang lagi,3,0,0,0,0,umum,-7,negative
moga layanan akademik fasilkom-ti semakin membaik iring jalan serta tugas,3,0,1,1,0,"reliability, emphaty",2,positive
sekian terima kasih,3,0,0,0,0,umum,4,positive
masalah tangible pihak sendiri sih lumayan renovasi perbaikan laku sistem daring beraoa tahub belakang sukit menilai bagi mahasiswa luarbkota,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
dosen staff rasa baik dosen staff lebih aktif menyampaikan informasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
fakultas data mahasiswa memilliki prestasi mahasiswa yangvnemiliki kendala bayar ukt rasa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
ajar sendiri tidakbtau tau tidak ajar yangbbaik pembelajaranbdi kampusblain apa,3,0,1,0,1,"reliability, assurance",-8,negative
luas fasilkom ti kampus baik hanya saja mungkin baik lebih baik lagi menambah tenaga staff bersih agar kampus lebih bersih lagi memeriksa rutin berbagai fasilitas kampus lab infocus,3,1,1,0,1,"tangibles, reliability, assurance",1,positive
terlepas semua fasilkom ti berusaha baik kembang serta benah apa apa saja kurang baik lebih baik lagi,3,1,1,0,1,"tangibles, reliability, assurance",-8,negative
layanan akademik fasilkom-ti baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
aspek fasilitas sedia pada satu masuk toilet bau pesing,2,1,1,0,1,"tangibles, reliability, assurance",-9,negative
dosen kompetensi bidang,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
aspek urus surat staf kurang ramah mahasiswa mahasiswa malas urus surat,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-16,negative
fakultas tidak terlalu aktif membantu mahasiswa tidak mampu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
fakultas kurang peduli masalah hadap mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
fasilkom-ti menyediakan gedung lumayan nyaman aspek membuat kurang jaringan lelet terkadang lantai banjir terlalu lama kamar mandi terkadang cium bau keramik pecah proyektor rusak susah hidup hidup kondisi hidup mati berdekatan lambat proses ajar kelas bersama dosen,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
fasilkom-ti belum milik kantin tidak bawa bekal harus jajan fakultas lain terdekat membeli melalui aplikasi online,2,1,1,1,0,"tangibles, reliability, emphaty",-8,negative
kampus usu khusus fasilkom-ti membantu bagi para mahasiswa tingkat kualitas belajar fasilitas baik laku mahasiswa baik tidak kekerasan membuat mahasiswa lemah mental dosen staf akademik membantu memahami pelajaran ajar mahasiswa tidak belajar jenjang tengah memahami ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",53,positive
layanan akademik fasilkom ti bagus banyak perlu tingkat lagi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
ruang terbatas prodi ilmu komputer milik ruang kelas bilang pas an ruang ibadah perlu tingkat lagi kipas angin tidak,3,1,1,0,1,"tangibles, reliability, assurance",25,positive
reability dosen materi kuliah tidak terang materi dia bawa baca saja,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
layanan staf bagus ramah,3,0,1,0,0,reliability,10,positive
responsivenees fakultas membantu mahasiswa mempunyai kendala akademik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
empathy fakultas memahami minat mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
aspek kurang terutama layanan bersih toilet,4,1,0,0,0,tangibles,-9,negative
pengalaman sendiri toilet pria fasilkom-ti milik bau pesing menyengat cium hanya melewati toilet,4,1,0,0,0,tangibles,-4,negative
depan toilet sering terjadi bocor sebab air genang,4,1,0,0,0,tangibles,2,positive
aspek reability empathy bagus,4,0,0,0,0,umum,-3,negative
kesimpulan aspek perlu baik lagi kenyamanan bersama,4,1,1,0,1,"tangibles, reliability, assurance",6,positive
fasilitas fisik kampus baik karna lengkap baik dosen staf baik mengarahkan pelajaran layanan kepentingan akademik siswa laku mahasiswa baik dimulai urus berkas baik ramah pemberian pelayanan santun sungguh membantu mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",58,positive
sikap tanggap fakultas tergolong kurang karna kurang perhati mahasiswa paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
fasilkom-ti milik gedung nyaman lagi fasilkom-ti gedung mas tergolong bersih terjaga menyediakan alat bersih sapu kain pel dll kelas butuh dadak,5,1,0,0,0,tangibles,-6,negative
fasilkom-ti milik suasana hangat mahasiswa sapa jumpa tidak pandang stambuk stambuk atas stambuk,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
dosen ramah tersenyum,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
fasilitas fasilkom-ti baik,5,1,1,0,1,"tangibles, reliability, assurance",5,positive
dosen staff pengajar ajar hari,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sikap tindakan dosen staff baik ramah,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
keperluan pegawai tata usaha cepat menanggapi melayani keluhan,5,0,0,0,0,umum,16,positive
para pegawai tata usaha responsif paham butuh tidak perlu menunggu lama masa pegawai tata usaha langsung proses butuh,5,0,0,0,0,umum,5,positive
fasilitas fisik kampus membantu mahasiswa ajar kampus alat lengkap pakai baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
fasilitas saji teratur bersih mahasiswa maka nyaman,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
