Timestamp,Berikan Penilaian/Feedback Anda Sesuai Petunjuk Yang Ada,Seberapa memuaskan layanan akademik Fasilkom-TI USU yang kamu terima (secara keseluruhan) ?
10/10/2022 16:22:01,"Menurut saya kamus FasilkomTI dalam aspek tangibles belum memuaskan. Alasannya antara lain, kecepatan jaringan wireless yang ada di area kampus tidaklah memadai. Memang fasilitas wifi disediakan oleh kampus, namun belum memenuhi kebutuhan internet mahasiswa ketika beraktivitas di area kampus. Dari segi keandalan dosen dan staf akademik, kampus sudah memberikan yang terbaik. Baik, itu dalam kegiatan belajar mengajar yaitu dalam penyampaian materi, modul materi yang padat dan sesuai, staf akademik yang ramah & tanggap dalam pengurusan administratif mahasiswa. Selain itu, pada aspek assurance atau perlakuan pada mahasiswa, dalam hal ini saya merujuk pada perlakuan dosen kepada mahasiswa bernilai cukup baik. Dosen mampu untuk tegas sekaligus juga simpatik kepada mahasiswanya. Dari sisi sikap tanggap, kampus sudah memberikan yang terbaik, terutama dalam merespon segala bentuk kegiatan yang berkaitan dengan mahasiswa. Dalam hal ini informasinya selalu disebar dengan cepat. Dari sisi empathy, kampus juga sudah memberikan yang terbaik, khususnya ketika mengharuskan untuk melakukan kelas ganti, maka dosen mau berkomunikasi/berdiskusi dengan mahasiswanya agar dapat menghasilkan jadwal yang tepat untuk kelas ganti.  ",4
10/10/2022 16:23:20,"penilaian saya terhadap ruang tangibles, semuanya sudah bagus. hanya kurang di bagian ruang ibadah saja

penilaian saya terhadap realibility, cukup berkurang karena kendala covid tetapi setelah sudah masuk tidak covid lagi menjadi lebih baik

penilaian saya terhadap assurance semuanya lumayan baik

untuk respponsiveness saya kurang tau karena saya hampir tidak pernah berurusan dengan masalah di bagian akademik yang mengharuskan saya ke tu. tetapi saya pernah masuk ke tu dan pelayanan lumayan baik

sama seperti responsiveness empathy juga saya kurang bisa menilai, tapi dari yang saya rasakan selama ini baik",4
10/10/2022 16:29:39,"Fasilitas yang disediakan di Fasilkom-TI sangat memadai, namun masuk kategori yang masih lumayan buruk dalam penjagaannya, artinya, banyak fasilitas yang memiliki kondisi yang tergolong buruk. Selain itu, dosen-dosen di Fasilkom-TI juga terkadang kurang mengayomi mahasiswa. Terkadang, dosen hanya masuk membaca ppt yang telah dibuat, namun tidak menjelaskan materi dengan baik. Namun, terlepas dari hal itu, dosen Fasilkom-TI yang tergolong andal juga tidak bisa dikatakan sedikit. Perlakuan pada mahasiswa terkadang kurang menyenangkan, hingga pada akhirnya banyak mahasiswa yang takut bertanya. Hal ini juga menggambarkan kurangnya sikap tanggap dan pemahaman terhadap kepentingan mahasiswa. ",3
10/10/2022 16:50:50,"Menurut penilaian saya, layanan yang diberikan akademik fasilkom-ti masih sangat jauh dari kata memuaskan.Hal ini dapat saya katakan dikarenakan dari beberapa aspek yang saya rasakan selama melakukan aktivitas yang membutuhkan layanan dari akademik fasilkom-ti. Walaupun menurut saya dari segi Tangibles yaitu fasilitas sudah cukup baik akan tetapi pengelolaannya menurut saya masih sangat kurang ditambah lagi tidak adanya tempat ibadah saat ini di fakultas. Untuk dari segi Reliability, menurut saya overall sudah cukup baik dan sudah sangat memuaskan baik dari segi modul atau materi yang digunakan maupun dari segi kebutuhan akademik mahasiswa, hanya saja ada sedikit kurang pada ketepatan waktu pada saat dosen masuk. Manakala untuk segi Assurance menurut saya sangat tidak memuaskan.Hal ini dapat dirasakan dari proses pengurusan berkas yang pernah saya alami dimana sering terjadinya hal yang tidak terorganisir antara prodi dan juga fakultas sehingga sangat lama dalam pemprosesan berkas. Hal ini juga ditambahkan dengan kurangnya ketepatan waktu dalam mempersiapkan pemprosesan dokumen atau berkas yang diperlukan mahasiswa untuk kepentingan akademik. Sedangkan dari segi Emphaty, fakultas cukup peduli pada kemajuan mahasiswa tetapi kurang mempedulikan kesulitan yang dialami oleh mahasiswa.",2
10/10/2022 16:55:30,"Layanan akademik yang saya rasakan saat ini cukup memuaskan.
Ruang kelas ada beberapa fasilitas yang sudah di perbaiki dan di tambah.
Untuk perlakuan mahasiswa/i sekarang, Saya merasa berbeda sekali dengan sebelumnya. Rasa empathy, toleransi, tutur sapa sudah mulai punah di kalangan mahasiswa.
Harapannya ada perubahan lebih baik kedepannya. 
Reliability lambat untuk merespon.
Empathy terhadap mahasiswa ada berapa dosen yang sangat cepat merespon, mengayomi dan memberikan pelayanan terhadap kepentingan mahasiswa, ada pula yang mengabaikan kepentingan mahasiswa nya, jadi sebagai mahasiswa/i tidak mengetahui harus bagaimana untuk mencari informasi terkait kebutuhan yang dibutuhkan oleh mahasiswa tersebut. 

Mohon pelayanan terhadap informasi untuk mahasiswa, dosen dan akademik di permudah dan pelayanan nya difasilitasi. 
",3
10/10/2022 17:08:24,"Dalam hal fasilitas fisik, usaha dari fasilkom ti dalam memberi fasilitas sudah cukup baik, hanya perlu di lakukan perawatan pada fasilitas tersebut. Seperti contohnya lokasi seperti pendopo terlihat terbengkalai dan berdebu, cleaning service melakukan kerja yang baik dalam perawatan ruang belajar dan sekitarnya, tetapi alangkah baiknya pihak fasilkom ti memberi amanat untuk perawatan fasilitas lain seperti pendopo.
Lalu untuk reliabilty dosen dan staff serta responsiveness mereka dalam memahami mahasiswa perlu ditingkatkan lagi, apalagi dalam masalah pengurusan surat surat penting layaknya surat izin, proposal, dan surat rekomendasi. Hal tersebut masih terlalu lama diurus dari waktu yang diharapkan, sehingga saya dan kenalan kenalan terlambat juga untuk menyerahkan surat penting tersebut untuk kepentingan program lainnya",3
10/10/2022 18:04:34,"Jika dilihat dari fasilitas fisik, diawal saya masuk Fasilkom-TI USU sudah memiliki ruangan yang jauh lebih baik daripada fakultas lain di USU dan setelah dilakukan renovasi, hal tersebut membuat Fasilkom-TI menjadi lebih baik lagi jika melihat fasilitasnya. Tetapi biarpun begitu masih ada beberapa hal yang kurang, salah satunya adalah InFocus dan kabel-kabelnya yang sering sekali bermasalah sehingga menghambat jalannya proses belajar mengajar yang ada. Kemudian dalam proses belajar mengajar, saya merasa kualitas Dosen pengajar sudah sangat baik, karena dosen yang mengajar sudah memiliki keahlian pada bidang yang diajarkannya, hanya saja pastinya ada dosen yang pengajarannya mudah dipahami dan ada juga dosen yang pengajarannya sulit bahkan mustahil untuk dimengerti. Dalam hal perlakuan pada mahasiswa saya rasa tidak terlalu jelek tetapi juga bisa dibilang baik, karena mereka dapat dengan cepat membantu menyelesaikan permasalahan yang mudah, tetapi akan butuh waktu yang sangat lama jika masalahnya kompleks.",3
10/10/2022 18:07:02,"- Fasilitas fisik kampus masih kurang memadai. Seluruh lab seharusnya dilengkapi Komputer yang cukup untuk jumlah mahasiswa yang masuk lab.
Untuk lab penelitian juga mohon fasilitas komputer nya lebih diperbanyak agar mahasiswa tidak perlu antri berhari-hari untuk training program tugas akhir.
- Keandalan Dosen dan Staf Akademik sangat mumpuni sejauh ini.
- Perlakuan pada Mahasiswa masih ada beberapa dosen yang sangat tidak peduli dengan mahasiswa didiknya. Staf Akademik masih banyak yang semena-mena, mengurus surat ini itu dipersulit.
- Sikap Tanggap masih sangat minim.
- Pemahaman Terhadap Kepentingan Mahasiswa masih sering terabaikan.",3
10/10/2022 20:42:10,"Saya belum pernah ke gedung D, jadi semua komentar saya dibawah hanya berdasarkan pada pengalaman selama belajar di gedung C.

Menurut saya ruang kuliah di gedung C sudah cukup baik. Kursi kursi sudah mencukupi, AC juga cukup dingin. Minusnya di ruang kuliah, ada kursi yang udah mereng mereng jadi ga enak utk dipakai apalagi sambil buka leptop (notabene kita sbg anak TI cukup sering membuka leptop ketika KBM). Toilet (wanita) di gedung C lantai 1 cukup bersih tapi kadang mau rusak flush nya. Toilet di lt 3 gedung C sih yg paling serem. Kotor dan rusak (tidak ada air sama sekali). Lab gedung C juga cakep, cuma ruangan ruangan lainnya (di lt 3) ga terurus, berantakan. Yang paling kurang dari FASILKOM-TI adalah ruang ibadah bagi muslim. Kami cukup kesulitan jika tiba waktu ibadah. Apalagi jika waktu ibadah dan jam kelas berdekatan.

Kalau untuk kualitas dosen itu 50-50 menurut saya. Karena sebagian dosen mengajar dengan baik, sebagian yang lain yaah mungkin mahasiswa TI lain sudah tau juga seperti apa. Begitu juga untuk materi dan ketepatan waktu kehadiran dosen, 50-50. Layanan staff akademik ini yang menurut saya kurang. Respon lama, ga cepat tanggap, sudah diminta dan diingatkan berkali kali juga tetap ga diurus. Gatau dah salahnya dimana. Belum lagi yang judes dan cuek. Padahal setiap ada urusan dengan staff saya selalu berusaha bertanya dengan sopan dan baik. Intinya kami kurang puas dan jadi malas kalau harus berurusan dengan staff staff FASILKOM-TI. 
Kalau dosen PA dan dosbing sepertinya juga tergantung pribadi masing - masing dosen ya, 50-50 juga. 

Saya tidak tau harus menjawab apa tentang kepedulian fakultas terhadap kepentingan mahasiswa. Sejauh ini responnya lama, jadi progressnya ga nampak. Ttg kemajuan mahasiswa melalui dosen PA juga menurut saya tidak ada ya. Saya tidak mendapat feedback dan keuntungan apa apa dengan memiliki dosen PA. Hanya untuk minta ttd KRS tiap semester.

Maafkan saya jika ini terlalu panjang. Sekalian mengeluarkan unek unek ttg FASILKOM-TI USU karena saya tidak menemukan wadah yang tepat untuk menyalurkan pandangan kami (sbg mahasiwa FASILKOM-TI) utk menyuarakan pendapat dan keluh kesah kami. Saya rasa fakultas juga perlu membuat kuisioner ini untuk refleksi dan kemajuan kita kedepannya. Tapi ya setelah dibuat kuisioner diharapkan segera dilaksanakan, jangan hanya dibaca.
Sekian dan terima kasih.",3
11/10/2022 15:00:20,"Untuk aspek tangibles selama saya berkuliah sudah cukup baik, ruang kuliah yang memadai untuk proses belajar namun yang kurang hanya pada pendinginan beberapa ruang yang tidak terlalu memadai sehingga terasa panas dan kurang nyaman. Untuk laboratorium dan toilet juga sudah cukup baik dan terjaga kebersihannya.
Terkait aspek reliability juga menurut saya sudah bisa dibilang baik dari pemberian materi dari dosen yang cukup dapat dipahami dan pemberian materi disertai praktik sehingga membuat saya dapat lebih memahami terkait materi tersebut. Ketika pengadaan elearning diberlakukan akses modul juga cukup mudah.
Sedangkan terkait layanan pengurusan berkas sepertinya masih perlu ditingkatkan lagi karena terkadang ada beberapa berkas yang pengurusannya cukup lama dan tertunda contohnya ketika saya mengurus berkas kkm untuk program kampus merdeka, cukup sulit untuk mendapatkan berkas tersebut sampai berminggu-minggu namun berkasnya masih belum bisa didapatkan juga. Dan yang terakhir saya tidak tahu apakah ini juga bisa dimasukkan ke dalam 5 aspek yang disebutkan, yaitu terkait penjadwalan seminar proposal dan seminar hasil, ada baiknya untuk lebih ditingkatkan karena selama ini jadwal diberitahukan satu hari sebelum jadwal seminar sehingga persiapan untuk seminar sedikit sulit karena mendadaknya pemberitahuan jadwal, meskipun sudah ada beberapa persiapan yang dilakukan dari jauh hari, akan tetapi persiapan tersebut terkadang kurang matang karena jadwal seminar yang diberitahukan tidak selang beberapa hari sebelumnya. Semoga saja hal ini dapat dipertimbangkan lagi. Dan semoga layanan akademik Fasilkom-TI dapat semakin membaik seiring berjalannya waktu serta dengan adanya tugas akhir ini.
Sekian dari saya terima kasih.",3
01/12/2022 11:00:47,"Untuk masalah tangible dari pihak sendiri sih lumayan cukup, ada beberapa renovasi dan perbaikan namun dengan diberlakukannya sistem daring beraoa tahub kebelakang , sukit untuk menilai bagi mahasiswa luarbkota. Untuk dosen dan staff nya dirasa cukup baik   dosen dan dan staff terlihat lebih aktif menyampaikan informasi. Fakultas juga mendata mahasiswa yang memilliki prestasi dan juga mahasiswa yangvnemiliki kendala dalam pembayaran ukt yang dirasa cukup baik.Untuk pembelajaran sendiri , tidakbtau, tau karena , tidak mengetahui pembelajaran yangbbaik atau pembelajaranbdi kampusblain seperti apa",3
02/12/2022 16:39:15,"Secara luas fasilkom ti adalah kampus yang baik, hanya saja ada beberapa hal yang mungkin bila diperbaiki bisa menjadi lebih baik lagi, diantaranya seperti menambah tenaga staff kebersihan agar kampus menjadi lebih bersih lagi, memeriksa kembali secara rutin berbagai fasilitas kampus seperti lab dan infocus, dan lainnya.

Terlepas dari itu semua, fasilkom ti yang sekarang telah berusaha memperbaiki, mengembangkan, serta membenahi apa apa saja hal yang kurang baik di dalam nya dengan lebih baik lagi.",3
09/12/2022 18:05:18,"layanan akademik yang diberikan oleh fasilkom-ti menurut saya cukup baik. dalam aspek tangibles, fasilitas yang disediakan cukup memadai, akan tetapi satu masukan dari saya adalah toilet yang bau pesing. kemudian, dosen cukup berkompetensi dalam bidang nya masing-masing. untuk aspek assurance, ketika ingin mengurus surat, staf kurang ramah terhadap mahasiswa, sehingga mahasiswa akan malas untuk mengurus surat. fakultas juga tidak terlalu aktif dalam membantu mahasiswa yang tidak mampu. dan fakultas juga masih sangat kurang peduli terhadap masalah yang dihadapi mahasiswa.",2
03/12/2022 9:21:29,"Menurut saya, Fasilkom-TI cukup menyediakan gedung yang lumayan nyaman, namun ada beberapa aspek yang membuat itu menjadi sangat kurang yaitu seperti jaringan yang sangat lelet, terkadang lantainya banjir terlalu lama, kamar mandi yang terkadang tercium bau, beberapa keramik ada yang pecah, beberapa proyektor yang rusak seperti susah hidup atau saat dihidupkan dengan kondisi hidup mati dalam waktu yang berdekatan sehingga memperlambat proses pembelajaran saat di kelas bersama dosen. Dan juga Fasilkom-TI belum memiliki kantin sehingga ketika tidak membawa bekal mengharuskan jajan di fakultas lain terdekat atau membeli melalui aplikasi online.",2
03/12/2022 9:22:17,"Keadaan kampus di USU terkhusus Fasilkom-TI itu sangat membantu bagi para mahasiswa untuk meningkatkan kualitas belajar, fasilitas yang di gunakan juga sangat baik, perlakuan kepada mahasiswa sangat baik juga tidak ada kekerasan ataupun membuat mahasiswa tersebut menjadi lemah mental, dosen dan staf akademik juga sangat membantu untuk memahami pelajaran yang diajarkan walaupun diantara mahasiswa tidak pernah belajar dari jenjang menengah tetapi mereka dapat memahami pembelajaran yang di berikan ",4
03/12/2022 9:27:16,"Menurut saya layanan akademik fasilkom ti cukup bagus, tetapi banyak yang perlu ditingkatkan lagi 
Seperti :
A. Tangibles (ruangan masih terbatas)
Menurut saya prodi ilmu komputer memiliki ruangan kelas yang bisa dibilang pas²an dan ruang ibadah perlu ditingkatkan lagi karena kipas angin juga tidak ada 
B. Reability 
Menurut saya ada beberapa dosen yang ketika menjelaskan materi kuliah itu tidak menerangkan materi yang dia bawa melainkan membacanya saja 
C. Assurance
Menurut saya layanan staf cukup bagus dan ramah 
D. Responsivenees
Menurut saya fakultas cukup membantu mahasiswa yang mempunyai kendala akademik
E. Empathy
Menurut saya fakultas cukup memahami minat mahasiswa",3
03/12/2022 9:27:54,"Menurut saya, untuk aspek tangibles cukup kurang, terutama pada layanan kebersihan yang ada pada toilet. Menurut pengalaman saya sendiri, toilet pria pada Fasilkom-TI memiliki bau pesing yang sangat menyengat, bahkan dapat tercium ketika saya hanya melewati toilet tersebut. Selain itu, didepan toilet sering terjadi kebocoran yang menyebabkan adanya air tergenang. Untuk aspek reability, assurance, responsiveness, dan empathy sudah bagus. Kesimpulan dari saya yaitu untuk aspek tangibles masih perlu diperbaiki lagi demi kenyamanan bersama. ",4
03/12/2022 9:29:43,"Menurut saya, fasilitas fisik kampus sangat baik karna sangat lengkap dan masih dapat digunakan dengan baik dosen dan staf nya , mereka sangat baik dalam mengarahkan pelajaran dan memberikan layanan kepentingan akademik siswa selain itu, perlakuan kepada mahasiswanya sangat baik , dimulai dari pengurusan berkas yang dikerjakan dengan sangat baik dan ramah, saat pemberian pelayanan dilakukan sangat santun sungguh sangat membantu mahasiswa nya . Tetapi, sikap tanggap pada fakultas masih tergolong kurang karna kurang nya memerhatikan mahasiswa nya begitu juga pada pemahaman pada kepentingan mahasiswa nya",3
03/12/2022 9:31:03,"Menurut saya, Fasilkom-TI memiliki gedung yang bisa dikatakan sangat nyaman terlebih lagi Fasilkom-TI yang gedungnya masi tergolong sangat baru, kebersihannya yang cukup terjaga, dan selalu menyediakan alat kebersihan seperti sapu, kain pel, dll ketika dikelas membutuhkannya mendadak. Fasilkom-TI juga memiliki suasana yang hangat, sesama mahasiswa saling menyapa ketika berjumpa dan tidak memandang stambuk, stambuk atas maupun stambuk bawah. Dan juga dosen-dosen yang sangat ramah, yang selalu tersenyum.",5
